Wavelengths,Intensities,Normalized
545.3696098362436,2540.488145258142,2540.488145258142
545.5982303105231,2540.217587034853,2540.217587034853
545.8268343191263,2539.622382953219,2539.622382953219
546.0554218610476,2539.0923439376115,2539.0923439376115
546.2839929352808,2539.0984153661834,2539.0984153661834
546.5125475408205,2539.692160864383,2539.692160864383
546.7410856766603,2540.1057833133623,2540.1057833133623
546.9696073417948,2539.806917767145,2539.806917767145
547.1981125352182,2539.791077431011,2539.791077431011
547.4266012559242,2540.04157563029,2540.04157563029
547.6550735029074,2540.2772569027993,2540.2772569027993
547.8835292751617,2540.265774309763,2540.265774309763
548.1119685716815,2540.2893427371328,2540.2893427371328
548.3403913914606,2540.2804291717057,2540.2804291717057
548.5687977334935,2540.1204141657045,2540.1204141657045
548.7971875967742,2541.3631212485384,2541.3631212485384
549.0255609802969,2541.1058433373737,2541.1058433373737
549.2539178830557,2540.960252100881,2540.960252100881
549.4822583040449,2540.8348469388116,2540.8348469388116
549.7105822422585,2541.4114825930733,2541.4114825930733
549.9388896966908,2541.407280912403,2541.407280912403
550.1671806663358,2540.3573319328098,2540.3573319328098
550.3954551501878,2539.62870348143,2539.62870348143
550.6237131472408,2539.5988085234467,2539.5988085234467
550.8519546564892,2539.7140096038797,2539.7140096038797
551.0801796769268,2539.296371548657,2539.296371548657
551.3083882075482,2538.9379441777096,2538.9379441777096
551.5365802473474,2538.735399159703,2538.735399159703
551.7647557953183,2538.8848199280087,2538.8848199280087
551.9929148504552,2538.598034213724,2538.598034213724
552.2210574117526,2538.220408163303,2538.220408163303
552.4491834782042,2537.7863235294503,2537.7863235294503
552.6772930488044,2537.5425120048394,2537.5425120048394
552.9053861225473,2537.4673259304113,2537.4673259304113
553.1334626984269,2537.1896218487777,2537.1896218487777
553.3615227754376,2537.017292917206,2537.017292917206
553.5895663525733,2536.389813925609,2536.389813925609
553.8175934288287,2535.6420978391725,2535.6420978391725
554.0456040031972,2535.935339135691,2535.935339135691
554.2735980746737,2536.2819057623424,2536.2819057623424
554.5015756422516,2536.0449069628235,2536.0449069628235
554.7295367049259,2535.403865546257,2535.403865546257
554.95748126169,2535.2198979592217,2535.2198979592217
